global_step,date,day_step,real_price,sim_price,best_bid,best_ask,spread_bps,imbalance,daily_sentiment,intraday_sentiment,epistemic_uncertainty,aleatoric_uncertainty,regime,total_volume,trade_count,fills_this_step
2549,2024-02-20,49,52258.82,56016.63250016701,56011.14281824402,56022.12218209,1.9600185437688868,0.006467016641632419,0.44,0.28572955111402,0.053367214042347885,0.1722044818109277,greed,25.63720664006411,232,2
2550,2024-02-21,0,51849.39,55401.27974707926,55372.62413888567,55429.93535527284,10.344745942478264,-0.003142393695844626,0.56,0.546127413945012,0.09373773739582694,0.2784667600888047,extreme_greed,0.6643131241900996,7,7
2551,2024-02-21,1,51849.39,55395.926308623064,55361.91726197328,55429.93535527284,12.278537039099325,-0.02072355189368702,0.56,0.5178397838428728,0.09776570541287655,0.2939348791913038,extreme_greed,1.0731536245351876,12,5
2552,2024-02-21,2,51849.39,55383.756444541184,55361.91726197328,55405.5956271091,7.8864937916512785,-0.0167232656880739,0.56,0.46665609000924746,0.08113348904193786,0.25215069821900277,extreme_greed,1.5891986544688665,16,4
2553,2024-02-21,3,51849.39,55367.4070745478,55353.93671237892,55380.877436716684,4.865809284059665,-0.026919612866638257,0.56,0.4283956258881298,0.10035179439217722,0.2830266207718243,extreme_greed,1.8407133889620195,19,3
2554,2024-02-21,4,51849.39,55357.45702527404,55353.93671237892,55360.97733816915,1.271847763349062,-0.024186801027189727,0.56,0.43463860346550914,0.10611232485674901,0.26797225130911195,extreme_greed,2.016447052477946,21,2
2555,2024-02-21,5,51849.39,55352.698563529484,55350.30602948998,55355.091097568984,0.8644687979421829,-0.026929242250126585,0.56,0.4260957893206989,0.1009597094024372,0.26285885680122134,extreme_greed,2.6350023915812173,29,8
2556,2024-02-21,6,51849.39,55352.40430033236,55350.30602948998,55354.50257117475,0.758149846934305,-0.017659155509693356,0.56,0.43698869848185184,0.09773728717251842,0.2657392811858479,extreme_greed,2.820435240569959,31,2
2557,2024-02-21,7,51849.39,55352.40430033236,55350.30602948998,55354.50257117475,0.758149846934305,-0.008954092094351813,0.56,0.4707690042420009,0.10845968473119695,0.2820745184532144,extreme_greed,3.2746199333546007,35,4
2558,2024-02-21,8,51849.39,55350.252084276595,55345.4130709842,55355.091097568984,1.7485063247858128,-0.01522285681674804,0.56,0.4589514896657342,0.09538064216986435,0.28378733801735884,extreme_greed,3.819144373103902,42,7
2559,2024-02-21,9,51849.39,55349.15574269237,55345.4130709842,55352.89841440054,1.3523861955791672,-0.012098372513929796,0.56,0.4565979858684659,0.0876100837736509,0.2937488529312059,extreme_greed,4.1883852978013705,46,4
2560,2024-02-21,10,51849.39,55347.10744004919,55339.123782529394,55355.091097568984,2.8849411971322314,-0.010613356398050689,0.56,0.44340870177114705,0.09193635762432106,0.29765080880202216,extreme_greed,4.737628738886554,54,8
2561,2024-02-21,11,51849.39,55347.53071854012,55339.123782529394,55355.937654550835,3.0378721151888364,-0.004371427540388274,0.56,0.43819267534461,0.08126017302256436,0.2953436415909526,extreme_greed,5.1458898703046465,58,4
